"respondentnr";"geslacht";"leeftijd";"opleidingsniveau";"alcohol_ooit";"alcohol_laatste_jaar";"alcohol_frequentie";"tabak_ooit";"tabak_laatste_jaar";"tabak_frequentie";"vapen_ooit";"vapen_laatste_jaar";"vapen_frequentie";"cannabis_ooit";"cannabis_laatste_jaar";"cannabis_frequentie";"xtc_ooit";"xtc_laatste_jaar";"xtc_frequentie";"cocaine_ooit";"cocaine_laatste_jaar";"cocaine_frequentie";"mmc_ooit";"mmc_laatste_jaar";"mmc_frequentie";"sigaretten_uitgaansdag";"glazen_alcohol_uitgaansdag";"acceptatie_alcohol_vrienden";"acceptatie_xtc_vrienden";"acceptatie_cocaine_vrienden";"makkelijk_aan_drugs_komen";"ervaren_gezondheid";"manier_verkrijgen_drugs";"gemoed_dinsdag_na_xtc"
88;"vrouw";22;"hoog";1;1;"eens per week";1;1;"eens per maand";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"een paar keer per maand";0;0;NA;3;4;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";NA
329;"man";16;"midden";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;3;8;"helemaal mee eens";"niet mee eens of oneens";"helemaal mee oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";NA
207;"man";21;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;1;1;"een keer";1;1;"eens per maand";3;8;"helemaal mee eens";"mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"krijgt van vrienden/kennissen";NA
289;"vrouw";25;"hoog";1;1;"eens per week";0;0;NA;1;1;"een keer";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;6;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";55
263;"anders";23;"midden";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";14;13;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Slecht";"koopt van een dealer";53
251;"vrouw";22;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"eens per maand";1;1;"eens per maand";1;1;"eens per maand";0;0;NA;1;1;"minder dan maandelijks";5;5;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"Goed";"koopt van een dealer";40
116;"man";22;"midden";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"eens per maand";1;1;"een keer";1;1;"een keer";0;0;NA;0;0;NA;1;3;"helemaal mee eens";"niet mee eens of oneens";"mee oneens";"helemaal mee eens";"Goed";"anders";66
66;"man";23;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"een paar keer per week";1;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;4;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"Uitstekend";"krijgt van vrienden/kennissen";74
321;"vrouw";25;"hoog";1;1;"een paar keer per week";1;1;"eens per week";0;0;NA;1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";0;0;NA;7;7;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";60
181;"man";20;"midden";1;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"een keer";1;0;NA;1;1;"eens per maand";0;0;NA;2;NA;"helemaal mee oneens";"mee eens";"helemaal mee eens";"helemaal mee eens";"Zeer goed";"anders";NA
195;"man";22;"hoog";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"een keer";1;0;NA;4;5;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Matig";"koopt van een dealer";61
314;"vrouw";23;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;1;0;NA;1;0;NA;0;0;NA;1;1;"een keer";NA;15;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"Goed";"krijgt van vrienden/kennissen";NA
29;"man";23;"midden";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"eens per maand";3;14;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";45
294;"vrouw";28;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";NA;17;"helemaal mee eens";"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"Goed";"koopt van een dealer";78
62;"vrouw";18;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;11;15;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"Goed";"krijgt van vrienden/kennissen";60
245;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;21;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";NA
209;"vrouw";20;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;1;"een paar keer per maand";21;12;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"weet niet";"Goed";"koopt van een dealer";NA
343;"man";16;"midden";1;1;"eens per week";1;1;"een paar keer per maand";0;0;NA;1;0;NA;0;0;NA;1;0;NA;1;1;"een keer";9;11;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";NA
327;"vrouw";16;NA;1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;7;15;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"mee eens";"Goed";"koopt van een dealer";NA
248;"man";32;"hoog";1;1;"een paar keer per maand";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;0;NA;1;1;"een keer";0;0;NA;0;0;NA;7;10;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"Goed";"anders";90
330;"vrouw";31;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"eens per maand";1;0;NA;2;7;"helemaal mee eens";"mee eens";"helemaal mee eens";"mee eens";"Goed";"koopt van vrienden/kennissen";NA
190;"man";20;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;1;1;"eens per maand";1;1;"een paar keer per maand";1;0;NA;3;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";65
154;"vrouw";20;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"een keer";1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;3;1;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"mee eens";"Goed";"koopt van een dealer";NA
296;"vrouw";34;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;10;"helemaal mee eens";"mee eens";"helemaal mee eens";"helemaal mee eens";"Matig";NA;NA
6;"man";30;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per maand";0;0;NA;1;0;NA;0;0;NA;0;0;NA;1;1;"een keer";5;27;"weet niet";"mee eens";"helemaal mee oneens";"helemaal mee eens";"Goed";"krijgt van vrienden/kennissen";NA
34;"man";28;"hoog";1;1;"een paar keer per maand";1;0;NA;0;0;NA;0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;NA;8;"mee eens";"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"Goed";"krijgt van vrienden/kennissen";60
169;"man";21;"midden";1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;1;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;10;"mee eens";"mee eens";"helemaal mee oneens";"niet mee eens of oneens";"Zeer goed";"ontvangen via de post";NA
137;"man";19;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"eens per maand";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;2;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"mee eens";"Goed";"krijgt van vrienden/kennissen";NA
308;"man";28;"hoog";1;1;"een paar keer per week";1;1;"eens per week";1;1;"eens per maand";1;0;NA;1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;15;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"Zeer goed";"koopt van een dealer";NA
132;"vrouw";28;"hoog";1;1;"een paar keer per week";1;1;"eens per maand";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;2;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee oneens";"Goed";"koopt van een dealer";78
224;"vrouw";24;"midden";1;1;"een paar keer per week";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;NA;9;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee oneens";"Goed";"koopt van een dealer";41
19;"man";27;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";9;10;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";60
280;"man";33;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";0;0;NA;1;1;"een keer";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";31;7;"helemaal mee eens";"helemaal mee eens";"weet niet";"helemaal mee eens";"Goed";"koopt van een dealer";76
77;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;2;2;"helemaal mee eens";"helemaal mee oneens";"niet mee eens of oneens";"weet niet";"Zeer goed";"krijgt van vrienden/kennissen";NA
328;"vrouw";35;"midden";1;0;NA;1;1;"een paar keer per week";0;0;NA;1;0;NA;1;1;"een keer";0;0;NA;1;1;"eens per maand";4;NA;"helemaal mee oneens";"mee eens";"mee oneens";"niet mee eens of oneens";"Goed";"koopt van vrienden/kennissen";95
266;"man";26;"midden";1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;1;1;"een keer";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;2;16;"helemaal mee oneens";"helemaal mee oneens";"mee eens";"helemaal mee oneens";"Uitstekend";"krijgt van vrienden/kennissen";NA
51;"vrouw";21;"hoog";1;1;"een paar keer per week";1;1;"eens per week";1;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;1;1;"een keer";12;17;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";77
65;"man";21;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;2;8;"helemaal mee eens";"helemaal mee oneens";"niet mee eens of oneens";"mee eens";"Zeer goed";"krijgt van vrienden/kennissen";NA
75;"man";21;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;1;1;"een paar keer per maand";0;0;NA;0;0;NA;3;14;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee oneens";"Goed";"koopt van een dealer";53
304;"man";24;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;0;NA;1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;6;7;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"Goed";"koopt van een dealer";77
11;"man";23;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";0;0;NA;1;1;"een paar keer per week";1;1;"eens per maand";1;1;"een paar keer per maand";0;0;NA;3;15;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Matig";"koopt van een dealer";24
82;"vrouw";22;"midden";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;4;9;"helemaal mee eens";"mee oneens";"mee eens";"mee eens";"Goed";"krijgt van vrienden/kennissen";NA
287;"man";19;"midden";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";NA;19;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";57
339;"man";21;"hoog";1;1;"eens per week";0;0;NA;1;1;"een paar keer per maand";0;0;NA;1;0;NA;0;0;NA;0;0;NA;NA;11;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"Matig";NA;NA
164;"man";18;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;1;"eens per maand";1;1;"eens per maand";1;1;"minder dan maandelijks";2;17;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"mee eens";"Goed";"koopt van een dealer";35
120;"vrouw";28;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;NA;2;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee oneens";"Goed";"krijgt van vrienden/kennissen";77
311;"vrouw";24;"hoog";1;1;"een paar keer per maand";0;0;NA;1;1;"een keer";1;1;"een keer";NA;0;NA;0;0;NA;0;0;NA;NA;12;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"helemaal mee oneens";"Uitstekend";"krijgt van vrienden/kennissen";NA
119;"man";21;NA;1;1;"minder dan maandelijks";1;1;"eens per maand";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;5;"mee eens";"helemaal mee eens";"niet mee eens of oneens";"mee eens";"Goed";"koopt van een dealer";50
72;"man";24;"midden";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";NA;12;"niet mee eens of oneens";"mee eens";"mee oneens";"mee eens";"Zeer goed";"koopt van een dealer";NA
241;"vrouw";17;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;0;NA;0;0;NA;14;11;"helemaal mee eens";"mee oneens";"mee oneens";"helemaal mee eens";"Zeer goed";NA;NA
222;"vrouw";16;"midden";1;1;"een paar keer per week";1;0;NA;1;1;"een paar keer per maand";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;7;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";47
100;"man";24;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"(bijna) elke dag";1;1;"eens per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";NA;9;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";50
176;"vrouw";19;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;0;NA;0;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";31;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Matig";"koopt van een dealer";NA
252;"man";26;"hoog";1;1;"een paar keer per maand";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;4;13;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"mee eens";"Goed";"krijgt van vrienden/kennissen";NA
229;"man";22;"midden";1;1;"een paar keer per maand";1;1;"een keer";1;0;NA;0;0;NA;0;0;NA;1;0;NA;1;0;NA;4;9;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"Goed";NA;NA
92;"vrouw";21;"hoog";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"een keer";1;1;"een keer";0;0;NA;3;12;"helemaal mee eens";"niet mee eens of oneens";"mee oneens";"mee eens";"Goed";"krijgt van vrienden/kennissen";62
261;"man";23;"midden";1;1;"een paar keer per week";0;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;21;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"Goed";"krijgt van vrienden/kennissen";45
313;"man";28;"hoog";1;1;"eens per week";0;0;NA;1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;NA;10;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"Matig";"koopt van vrienden/kennissen";55
46;"man";25;"hoog";1;1;"een paar keer per week";1;0;NA;0;0;NA;1;0;NA;1;1;"een paar keer per maand";1;1;"een paar keer per week";1;1;"eens per maand";NA;10;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Matig";"koopt van een dealer";36
344;"man";21;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"eens per week";21;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";60
54;"vrouw";20;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een paar keer per maand";0;0;NA;1;1;"eens per maand";0;0;NA;1;1;"minder dan maandelijks";5;6;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Matig";"koopt van vrienden/kennissen";59
291;"man";32;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;8;7;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"Goed";"koopt van een dealer";60
293;"vrouw";27;"hoog";1;1;"eens per week";1;1;"een keer";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;0;NA;7;12;"helemaal mee oneens";"helemaal mee eens";"mee eens";"mee eens";"Uitstekend";"krijgt van vrienden/kennissen";35
173;"man";16;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;0;NA;1;0;NA;13;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"Slecht";"koopt van een dealer";38
87;"vrouw";17;"hoog";1;1;"eens per week";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;17;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"niet mee eens of oneens";"Goed";NA;NA
264;"man";25;"hoog";1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;NA;12;"helemaal mee eens";"mee eens";"helemaal mee eens";"niet mee eens of oneens";"Goed";"krijgt van vrienden/kennissen";48
151;"man";22;"midden";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;8;24;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";70
288;"man";26;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;0;NA;1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"een paar keer per week";1;1;"een paar keer per maand";11;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"weet niet";"Slecht";"koopt van een dealer";25
28;"man";24;"hoog";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;1;1;"eens per maand";1;1;"een keer";0;0;NA;11;10;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";55
140;"man";16;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"eens per maand";1;0;NA;1;0;NA;0;0;NA;0;0;NA;2;5;"helemaal mee eens";"mee eens";"mee eens";"mee eens";"Goed";NA;NA
121;"man";19;"midden";1;1;"een paar keer per week";0;0;NA;1;0;NA;1;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;25;"helemaal mee eens";"mee oneens";"mee oneens";"mee oneens";"Goed";NA;NA
57;"vrouw";24;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;7;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";45
205;"man";23;"hoog";1;1;"een paar keer per maand";0;0;NA;1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;NA;22;"helemaal mee eens";"niet mee eens of oneens";"mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";NA
109;"man";19;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;NA;5;"helemaal mee eens";"mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";NA
96;"man";26;"midden";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;2;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";64
99;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"eens per maand";1;1;"eens per maand";1;0;NA;0;0;NA;0;0;NA;13;4;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";NA
40;"man";28;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;9;10;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"Matig";"krijgt van vrienden/kennissen";63
139;"vrouw";28;"hoog";1;1;"een paar keer per maand";0;0;NA;1;1;"een keer";0;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;NA;3;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"Zeer goed";"krijgt van vrienden/kennissen";63
93;"vrouw";24;"hoog";1;1;"eens per week";1;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;8;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"Zeer goed";"krijgt van vrienden/kennissen";60
228;"man";28;"midden";0;0;NA;1;0;NA;0;0;NA;0;0;NA;1;0;NA;0;0;NA;0;0;NA;NA;NA;"helemaal mee eens";"mee eens";"helemaal mee oneens";"helemaal mee eens";"Goed";NA;NA
