"respondentnr";"geslacht";"leeftijd";"opleidingsniveau";"xtc_ooit";"xtc_laatste_jaar";"xtc_laatste_maand";"cannabis_ooit";"cannabis_laatste_jaar";"cannabis_laatste_maand"
84;"man";18;"vmbo/mbo";0;0;0;0;0;0
85;"vrouw";17;"vmbo/mbo";0;0;0;0;0;0
86;"anders";25;"vmbo/mbo";0;0;0;1;1;0
87;"man";17;"havo/vwo";0;0;0;0;0;0
88;"man";18;"vmbo/mbo";0;0;0;1;1;0
89;"vrouw";15;NA;0;0;0;0;0;0
90;"vrouw";21;"vmbo/mbo";0;0;0;1;1;0
91;"man";24;"hbo/wo";0;0;0;1;1;0
92;"man";21;"hbo/wo";1;1;1;0;0;0
93;"man";20;"vmbo/mbo";0;0;0;1;1;1
94;"vrouw";19;"hbo/wo";0;0;0;1;1;0
95;"vrouw";21;"hbo/wo";0;0;0;0;0;0
96;"vrouw";23;"vmbo/mbo";1;1;0;0;0;0
97;"man";19;"havo/vwo";0;0;0;0;0;0
98;"vrouw";24;"vmbo/mbo";0;0;0;0;0;0
99;"man";18;"vmbo/mbo";0;0;0;0;0;0
100;"vrouw";20;"hbo/wo";0;0;0;0;0;0
101;"vrouw";16;"havo/vwo";1;1;0;0;0;0
102;"man";24;"hbo/wo";0;0;0;1;0;0
103;"vrouw";21;"vmbo/mbo";0;0;0;1;1;0
104;"vrouw";22;"vmbo/mbo";0;0;0;0;0;0
105;"vrouw";19;"hbo/wo";0;0;0;0;0;0
106;"vrouw";25;"havo/vwo";0;0;0;0;0;0
107;"man";23;"hbo/wo";0;0;0;1;0;0
108;"man";22;"vmbo/mbo";0;0;0;0;0;0
109;"vrouw";22;"hbo/wo";0;0;0;0;0;0
110;"man";17;"havo/vwo";0;0;0;0;0;0
111;"vrouw";18;"vmbo/mbo";0;0;0;0;0;0
112;"man";17;"havo/vwo";0;0;0;NA;0;0
113;"vrouw";23;"havo/vwo";0;0;0;1;1;1
114;"vrouw";20;"vmbo/mbo";0;0;0;0;0;0
115;"vrouw";23;"havo/vwo";0;0;0;0;0;0
116;"vrouw";25;"vmbo/mbo";0;0;0;1;0;0
117;"man";23;"vmbo/mbo";0;0;0;0;0;0
118;"vrouw";19;"hbo/wo";0;0;0;1;0;0
119;"vrouw";21;"hbo/wo";0;0;0;0;0;0
120;"man";24;"vmbo/mbo";0;0;0;0;0;0
121;"vrouw";22;"vmbo/mbo";0;0;0;1;0;0
122;"vrouw";18;"vmbo/mbo";0;0;0;1;1;0
123;"man";20;"hbo/wo";0;0;0;0;0;0
124;"man";18;"vmbo/mbo";0;0;0;0;0;0
125;"vrouw";22;"vmbo/mbo";0;0;0;0;0;0
126;"vrouw";16;"havo/vwo";0;0;0;0;0;0
127;"vrouw";23;"vmbo/mbo";1;0;0;0;0;0
128;"vrouw";20;NA;0;0;0;0;0;0
129;"vrouw";15;"havo/vwo";0;0;0;0;0;0
130;"vrouw";17;NA;0;0;0;0;0;0
131;"vrouw";24;"hbo/wo";0;0;0;1;1;1
132;"man";25;NA;0;0;0;0;0;0
133;"vrouw";24;"vmbo/mbo";0;0;0;1;1;0
134;"vrouw";25;"vmbo/mbo";0;0;0;1;0;0
135;"man";16;"havo/vwo";0;0;0;0;0;0
136;"vrouw";16;"havo/vwo";0;0;0;0;0;0
137;"vrouw";22;"vmbo/mbo";0;0;0;0;0;0
138;"man";24;"vmbo/mbo";0;0;0;0;0;0
139;"man";25;"hbo/wo";0;0;0;0;0;0
140;"vrouw";22;"vmbo/mbo";0;0;0;1;1;1
141;"man";25;"vmbo/mbo";0;0;0;1;0;0
142;"vrouw";24;"vmbo/mbo";0;0;0;0;0;0
143;"man";24;"vmbo/mbo";0;0;0;1;0;0
144;"man";22;"vmbo/mbo";0;0;0;1;0;0
145;"man";19;"havo/vwo";0;0;0;0;0;0
146;"vrouw";18;"havo/vwo";0;0;0;1;0;0
147;"vrouw";16;"vmbo/mbo";0;0;0;NA;0;0
148;"man";16;"havo/vwo";0;0;0;1;0;0
149;"man";21;"vmbo/mbo";0;0;0;1;0;0
150;"vrouw";16;"vmbo/mbo";0;0;0;0;0;0
151;"vrouw";18;"hbo/wo";0;0;0;0;0;0
152;"vrouw";23;"hbo/wo";0;0;0;0;0;0
153;"anders";22;"hbo/wo";NA;1;0;1;0;0
154;"man";19;"vmbo/mbo";0;0;0;1;1;0
155;"man";18;"vmbo/mbo";0;0;0;1;1;0
156;"man";20;"vmbo/mbo";0;0;0;1;0;0
157;"vrouw";25;"vmbo/mbo";0;0;0;0;0;0
158;"man";23;"vmbo/mbo";0;0;0;1;0;0
159;"man";16;"vmbo/mbo";NA;0;0;0;0;0
160;"vrouw";24;"vmbo/mbo";0;0;0;0;0;0
161;"vrouw";21;"hbo/wo";0;0;0;1;1;1
162;"man";25;"hbo/wo";0;0;0;1;0;0
163;"man";18;"havo/vwo";0;0;0;0;0;0
164;"vrouw";25;"hbo/wo";0;0;0;0;0;0
165;"vrouw";16;"havo/vwo";0;0;0;0;0;0
166;"vrouw";21;"vmbo/mbo";0;0;0;NA;1;1
167;"vrouw";18;"havo/vwo";0;0;0;0;0;0
168;"vrouw";17;"vmbo/mbo";0;0;0;0;0;0
169;"vrouw";21;"havo/vwo";0;0;0;0;0;0
170;"vrouw";24;"vmbo/mbo";0;0;0;0;0;0
171;"man";24;"hbo/wo";0;0;0;0;0;0
172;"man";15;"havo/vwo";0;0;0;0;0;0
173;"man";22;"vmbo/mbo";1;1;0;1;1;1
174;"man";22;"hbo/wo";0;0;0;1;1;1
175;"vrouw";21;"hbo/wo";0;0;0;1;0;0
176;"man";22;"vmbo/mbo";0;0;0;1;1;0
177;"man";25;NA;0;0;0;1;1;1
178;"man";21;"vmbo/mbo";0;0;0;0;0;0
179;"anders";25;"havo/vwo";0;0;0;0;0;0
180;"man";25;"hbo/wo";0;0;0;1;1;1
181;"vrouw";19;"vmbo/mbo";0;0;0;0;0;0
182;"vrouw";21;"vmbo/mbo";0;0;0;0;0;0
183;"man";25;NA;1;1;0;1;1;0
184;"man";20;"hbo/wo";0;0;0;1;0;0
185;"vrouw";15;"vmbo/mbo";0;0;0;0;0;0
186;"vrouw";19;"hbo/wo";0;0;0;0;0;0
187;"man";17;"vmbo/mbo";0;0;0;0;0;0
188;"vrouw";18;"vmbo/mbo";0;0;0;0;0;0
189;"vrouw";21;"vmbo/mbo";1;1;1;1;1;0
190;"vrouw";19;"hbo/wo";0;0;0;0;0;0
191;"vrouw";23;"hbo/wo";0;0;0;0;0;0
192;"vrouw";22;"hbo/wo";1;0;0;0;0;0
193;"vrouw";18;"hbo/wo";0;0;0;1;1;0
194;"man";17;"vmbo/mbo";0;0;0;0;0;0
195;"vrouw";25;"vmbo/mbo";0;0;0;1;1;0
196;"vrouw";21;"vmbo/mbo";0;0;0;0;0;0
197;"vrouw";17;"havo/vwo";0;0;0;0;0;0
198;"man";21;"hbo/wo";1;0;0;0;0;0
199;"man";22;"hbo/wo";0;0;0;1;0;0
200;"vrouw";20;"vmbo/mbo";0;0;0;1;1;1
201;"man";17;"havo/vwo";0;0;0;0;0;0
202;"man";20;"vmbo/mbo";0;0;0;0;0;0
203;"vrouw";23;"vmbo/mbo";0;0;0;0;0;0
204;"man";20;"hbo/wo";0;0;0;0;0;0
205;"vrouw";19;"vmbo/mbo";0;0;0;1;0;0
206;"man";18;"vmbo/mbo";0;0;0;1;1;0
207;"vrouw";21;"vmbo/mbo";0;0;0;0;0;0
208;"man";16;"havo/vwo";0;0;0;1;1;1
209;"man";19;"havo/vwo";0;0;0;1;1;1
210;"man";21;"hbo/wo";0;0;0;0;0;0
211;"man";22;"vmbo/mbo";0;0;0;0;0;0
212;"vrouw";17;"vmbo/mbo";0;0;0;0;0;0
213;"vrouw";16;"havo/vwo";0;0;0;0;0;0
214;"vrouw";18;"vmbo/mbo";0;0;0;0;0;0
215;"man";20;"havo/vwo";0;0;0;1;1;1
216;"man";18;"hbo/wo";0;0;0;0;0;0
217;"vrouw";24;"vmbo/mbo";0;0;0;0;0;0
218;"vrouw";24;"hbo/wo";0;0;0;1;1;0
219;"vrouw";23;"havo/vwo";0;0;0;0;0;0
220;"vrouw";20;"hbo/wo";1;1;0;0;0;0
221;"vrouw";18;"havo/vwo";0;0;0;0;0;0
222;"man";22;"vmbo/mbo";0;0;0;0;0;0
223;"vrouw";19;"havo/vwo";0;0;0;1;0;0
224;"man";20;"havo/vwo";NA;0;0;0;0;0
225;"vrouw";19;"havo/vwo";0;0;0;0;0;0
226;"man";20;"vmbo/mbo";0;0;0;0;0;0
227;"man";16;"havo/vwo";0;0;0;0;0;0
228;"vrouw";25;"havo/vwo";0;0;0;1;1;1
229;"vrouw";18;"hbo/wo";0;0;0;0;0;0
230;"vrouw";23;"hbo/wo";0;0;0;0;0;0
231;"vrouw";16;"havo/vwo";0;0;0;0;0;0
232;"vrouw";23;"vmbo/mbo";0;0;0;1;0;0
233;"vrouw";21;"hbo/wo";1;1;1;1;1;1
234;"man";19;"hbo/wo";0;0;0;0;0;0
235;"man";16;"vmbo/mbo";0;0;0;0;0;0
236;"man";20;"havo/vwo";0;0;0;0;0;0
237;"anders";22;"havo/vwo";0;0;0;1;0;0
238;"vrouw";22;"havo/vwo";0;0;0;1;0;0
239;"vrouw";25;"havo/vwo";0;0;0;0;0;0
240;"man";25;"hbo/wo";1;1;0;0;0;0
241;"anders";16;"vmbo/mbo";0;0;0;0;0;0
242;"man";21;"havo/vwo";0;0;0;1;0;0
243;"anders";18;"vmbo/mbo";0;0;0;0;0;0
244;"man";18;"hbo/wo";0;0;0;0;0;0
245;"man";18;"vmbo/mbo";0;0;0;1;1;1
246;"man";20;"havo/vwo";0;0;0;1;1;1
247;"man";25;"hbo/wo";0;0;0;0;0;0
248;"vrouw";15;"vmbo/mbo";0;0;0;0;0;0
249;"vrouw";25;"hbo/wo";0;0;0;1;1;0
250;"vrouw";16;"vmbo/mbo";0;0;0;0;0;0
251;"man";25;"vmbo/mbo";1;1;0;1;1;0
252;"vrouw";23;"hbo/wo";0;0;0;0;0;0
253;"vrouw";25;"vmbo/mbo";0;0;0;1;1;1
254;"man";23;"hbo/wo";1;1;0;0;0;0
255;"vrouw";19;"havo/vwo";0;0;0;0;0;0
256;"vrouw";19;"hbo/wo";0;0;0;0;0;0
257;"man";17;"vmbo/mbo";0;0;0;1;1;0
258;"man";23;"havo/vwo";0;0;0;0;0;0
259;"man";19;"hbo/wo";0;0;0;0;0;0
260;"man";17;"vmbo/mbo";0;0;0;1;1;1
261;"vrouw";21;"vmbo/mbo";0;0;0;0;0;0
262;"man";24;NA;0;0;0;0;0;0
263;"anders";19;"havo/vwo";1;1;0;0;0;0
264;"vrouw";23;"hbo/wo";0;0;0;0;0;0
265;"man";15;"vmbo/mbo";0;0;0;0;0;0
266;"vrouw";24;"vmbo/mbo";0;0;0;1;0;0
267;"vrouw";22;"hbo/wo";0;0;0;0;0;0
268;"man";24;"hbo/wo";0;0;0;0;0;0
269;"man";22;"havo/vwo";0;0;0;0;0;0
270;"man";20;"hbo/wo";0;0;0;0;0;0
271;"vrouw";20;"havo/vwo";0;0;0;0;0;0
272;"vrouw";25;"vmbo/mbo";0;0;0;0;0;0
273;"vrouw";18;"hbo/wo";0;0;0;0;0;0
274;"vrouw";23;"vmbo/mbo";0;0;0;1;1;1
275;"man";16;"havo/vwo";0;0;0;0;0;0
276;"man";18;"vmbo/mbo";0;0;0;0;0;0
277;"man";16;"vmbo/mbo";0;0;0;0;0;0
278;"man";16;"havo/vwo";0;0;0;0;0;0
279;"man";20;"hbo/wo";0;0;0;0;0;0
280;"vrouw";15;"vmbo/mbo";0;0;0;0;0;0
281;"man";20;"havo/vwo";0;0;0;0;0;0
282;"man";25;"hbo/wo";0;0;0;0;0;0
283;"man";20;"vmbo/mbo";0;0;0;1;1;1
284;"man";16;"vmbo/mbo";0;0;0;0;0;0
285;"man";20;"hbo/wo";1;1;0;0;0;0
286;"man";22;"hbo/wo";0;0;0;0;0;0
287;"vrouw";22;"havo/vwo";0;0;0;1;0;0
288;"vrouw";23;"vmbo/mbo";1;1;0;1;1;1
289;"man";23;"hbo/wo";1;1;0;0;0;0
290;"man";24;"hbo/wo";1;1;1;1;1;1
291;"vrouw";15;"vmbo/mbo";0;0;0;0;0;0
292;"man";23;"vmbo/mbo";0;0;0;0;0;0
293;"man";24;"vmbo/mbo";NA;0;0;1;1;0
294;"man";25;"hbo/wo";0;0;0;1;1;0
295;"man";18;"vmbo/mbo";0;0;0;0;0;0
296;"man";16;"vmbo/mbo";0;0;0;1;1;1
297;"man";15;"vmbo/mbo";0;0;0;0;0;0
298;"man";25;"vmbo/mbo";0;0;0;1;0;0
299;"vrouw";22;"hbo/wo";0;0;0;0;0;0
300;"vrouw";18;"vmbo/mbo";0;0;0;0;0;0
301;"man";22;"vmbo/mbo";0;0;0;1;1;1
302;"man";23;"vmbo/mbo";0;0;0;0;0;0
303;"man";17;"havo/vwo";0;0;0;NA;0;0
304;"vrouw";20;"vmbo/mbo";0;0;0;0;0;0
305;"man";18;"vmbo/mbo";0;0;0;0;0;0
306;"vrouw";20;"havo/vwo";0;0;0;0;0;0
307;"man";23;"vmbo/mbo";1;1;0;1;1;1
308;"vrouw";24;"hbo/wo";1;1;0;1;0;0
309;"man";17;"havo/vwo";0;0;0;0;0;0
310;"man";15;"vmbo/mbo";0;0;0;0;0;0
311;"man";20;"hbo/wo";0;0;0;0;0;0
312;"man";18;"havo/vwo";0;0;0;0;0;0
313;"vrouw";25;"vmbo/mbo";0;0;0;0;0;0
314;"man";19;"vmbo/mbo";0;0;0;0;0;0
315;"vrouw";19;"hbo/wo";1;1;1;1;1;1
316;"man";18;"havo/vwo";0;0;0;0;0;0
317;"man";19;"vmbo/mbo";0;0;0;0;0;0
318;"vrouw";16;"havo/vwo";0;0;0;0;0;0
319;"man";19;"havo/vwo";0;0;0;0;0;0
320;"man";22;"hbo/wo";0;0;0;0;0;0
321;"man";23;"vmbo/mbo";1;1;0;0;0;0
322;"vrouw";17;"vmbo/mbo";0;0;0;0;0;0
323;"vrouw";25;"havo/vwo";0;0;0;0;0;0
324;"man";25;"vmbo/mbo";0;0;0;0;0;0
325;"vrouw";19;"hbo/wo";0;0;0;0;0;0
326;"man";22;"vmbo/mbo";1;0;0;1;1;0
327;"man";22;"hbo/wo";0;0;0;1;1;0
328;"man";16;"havo/vwo";0;0;0;0;0;0
329;"vrouw";23;"vmbo/mbo";0;0;0;0;0;0
330;"man";15;"havo/vwo";0;0;0;0;0;0
331;"vrouw";23;"hbo/wo";0;0;0;1;0;0
332;"man";19;"vmbo/mbo";0;0;0;0;0;0
333;"man";23;"hbo/wo";0;0;0;1;0;0
334;"man";18;"vmbo/mbo";0;0;0;0;0;0
335;"vrouw";16;"havo/vwo";0;0;0;0;0;0
336;"man";25;"vmbo/mbo";0;0;0;0;0;0
337;"vrouw";21;"hbo/wo";0;0;0;0;0;0
338;"man";21;"vmbo/mbo";0;0;0;0;0;0
339;"vrouw";21;"hbo/wo";0;0;0;0;0;0
340;"man";19;"vmbo/mbo";0;0;0;0;0;0
341;"vrouw";22;"hbo/wo";0;0;0;1;0;0
342;"man";18;"vmbo/mbo";0;0;0;1;1;0
343;"vrouw";22;"vmbo/mbo";0;0;0;0;0;0
344;"vrouw";21;"hbo/wo";0;0;0;0;0;0
345;"man";17;"vmbo/mbo";0;0;0;0;0;0
346;"vrouw";22;"vmbo/mbo";0;0;0;0;0;0
347;"vrouw";25;"hbo/wo";0;0;0;0;0;0
348;"vrouw";19;"hbo/wo";0;0;0;0;0;0
349;"man";22;"hbo/wo";0;0;0;0;0;0
350;"vrouw";18;"havo/vwo";0;0;0;0;0;0
