"respondentnr";"geslacht";"leeftijd";"opleidingsniveau";"alcohol_ooit";"alcohol_laatste_jaar";"alcohol_frequentie";"tabak_ooit";"tabak_laatste_jaar";"tabak_frequentie";"vapen_ooit";"vapen_laatste_jaar";"vapen_frequentie";"cannabis_ooit";"cannabis_laatste_jaar";"cannabis_frequentie";"xtc_ooit";"xtc_laatste_jaar";"xtc_frequentie";"cocaine_ooit";"cocaine_laatste_jaar";"cocaine_frequentie";"mmc_ooit";"mmc_laatste_jaar";"mmc_frequentie";"sigaretten_uitgaansdag";"glazen_alcohol_uitgaansdag";"acceptatie_alcohol_vrienden";"acceptatie_xtc_vrienden";"acceptatie_cocaine_vrienden";"makkelijk_aan_drugs_komen";"ervaren_gezondheid"
196;"man";20;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"eens per week";1;1;"eens per maand";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";23;9;"helemaal mee eens";"mee eens";"helemaal mee eens";"weet niet";"niet goed/niet slecht"
212;"man";29;"hoog";1;1;"eens per maand";1;1;"een paar keer per week";0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;28;10;"mee eens";"helemaal mee oneens";"helemaal mee oneens";"mee oneens";"goed"
267;"man";17;"hoog";1;1;"eens per week";0;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;0;NA;1;1;"minder dan maandelijks";NA;9;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"zeer goed"
178;"vrouw";20;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een keer";1;1;"een keer";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;64;1;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"mee eens";"niet goed/niet slecht"
339;"man";20;"hoog";1;1;"eens per week";0;0;NA;1;1;"eens per week";1;1;"eens per maand";1;1;"een keer";0;0;NA;0;0;NA;NA;13;"helemaal mee eens";"helemaal mee eens";"mee oneens";"mee eens";"goed"
207;"man";20;"hoog";1;1;"eens per week";1;1;"een keer";1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;1;16;"helemaal mee eens";"helemaal mee oneens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
313;"man";25;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";NA;23;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"goed"
143;"man";16;"hoog";1;1;"eens per week";1;0;NA;1;1;"eens per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;NA;14;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"goed"
67;"vrouw";19;"midden";1;0;NA;1;0;NA;1;1;"eens per maand";1;0;NA;1;0;NA;0;0;NA;0;0;NA;NA;NA;"helemaal mee oneens";"mee eens";"mee oneens";"helemaal mee eens";"goed"
173;"man";28;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";NA;0;NA;0;0;NA;18;16;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"niet goed/niet slecht"
75;"man";20;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;1;"een paar keer per maand";0;0;NA;0;0;NA;2;17;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee oneens";"goed"
287;"man";29;"midden";1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;NA;7;"helemaal mee eens";"helemaal mee eens";"mee oneens";"weet niet";"zeer goed"
259;"vrouw";21;"hoog";1;1;"een paar keer per maand";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;13;"helemaal mee eens";"helemaal mee oneens";"mee oneens";"mee eens";"goed"
76;"vrouw";20;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een paar keer per maand";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";6;4;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
163;"vrouw";19;"midden";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;0;0;NA;18;4;"helemaal mee eens";"helemaal mee oneens";"mee oneens";"mee eens";"goed"
289;"vrouw";18;"hoog";1;1;"eens per week";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;16;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"goed"
141;"vrouw";26;"midden";1;1;"een paar keer per week";1;1;"een keer";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;0;NA;2;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"goed"
113;"man";18;"midden";1;1;"eens per week";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;1;0;NA;1;1;"eens per maand";NA;24;"helemaal mee eens";"niet mee eens of oneens";"niet mee eens of oneens";"weet niet";"goed"
1;"vrouw";16;"midden";1;1;"een paar keer per maand";0;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;5;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
158;"vrouw";18;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;4;"helemaal mee eens";"niet mee eens of oneens";"helemaal mee oneens";"mee eens";"goed"
242;"vrouw";20;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;0;NA;1;0;NA;25;6;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
261;"man";21;"midden";1;1;"een paar keer per week";0;0;NA;1;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;7;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee oneens";"goed"
159;"vrouw";40;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;6;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"goed"
170;"man";16;"midden";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;1;1;"eens per week";4;9;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"zeer goed"
229;"man";19;"midden";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;10;"helemaal mee eens";"mee eens";"helemaal mee oneens";"mee eens";"goed"
92;"vrouw";20;"hoog";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"een paar keer per week";0;0;NA;0;0;NA;0;0;NA;19;5;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"mee eens";"niet goed/niet slecht"
118;"man";21;"hoog";1;1;"eens per week";1;1;"eens per maand";1;0;NA;1;0;NA;0;0;NA;1;0;NA;0;0;NA;3;18;"helemaal mee eens";"mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
77;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"eens per maand";0;0;NA;1;1;"eens per week";1;1;"een keer";1;1;"minder dan maandelijks";0;0;NA;5;6;"helemaal mee eens";"mee eens";"mee eens";"mee eens";"zeer goed"
305;"vrouw";19;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"een paar keer per maand";1;0;NA;0;0;NA;1;1;"eens per maand";8;14;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"slecht"
134;"man";19;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";1;1;"een paar keer per maand";0;0;NA;1;6;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"weet niet";"goed"
177;"vrouw";19;"hoog";1;1;"een paar keer per maand";1;0;NA;1;0;NA;1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;NA;24;"helemaal mee eens";"helemaal mee oneens";"mee oneens";"mee oneens";"goed"
144;"vrouw";28;"midden";1;1;"eens per week";1;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;0;NA;NA;12;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"goed"
162;"vrouw";25;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";1;1;"een keer";0;0;NA;3;3;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"mee oneens";"zeer goed"
8;"vrouw";23;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"eens per maand";24;15;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"niet goed/niet slecht"
127;"man";18;"midden";1;1;"een paar keer per maand";1;1;"eens per week";1;1;"eens per maand";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";8;3;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
217;"man";25;"hoog";1;1;"een paar keer per maand";1;1;"eens per week";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";12;12;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
337;"man";20;"hoog";1;1;"minder dan maandelijks";1;0;NA;1;1;"een keer";1;1;"een paar keer per maand";0;0;NA;0;0;NA;1;1;"een paar keer per maand";NA;10;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"niet goed/niet slecht"
30;"vrouw";21;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";0;0;NA;0;0;NA;0;0;NA;1;0;NA;0;0;NA;2;19;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"niet mee eens of oneens";"goed"
66;"man";21;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;3;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"mee eens";"zeer goed"
237;"vrouw";17;"laag";1;1;"eens per week";1;1;"eens per week";1;1;"een keer";1;1;"eens per maand";1;1;"een keer";1;0;NA;1;1;"minder dan maandelijks";7;12;"helemaal mee eens";"mee eens";"mee oneens";"mee eens";"goed"
312;"vrouw";22;"midden";1;1;"een paar keer per week";1;0;NA;1;1;"eens per maand";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;13;"helemaal mee eens";"niet mee eens of oneens";"niet mee eens of oneens";"helemaal mee oneens";"zeer goed"
241;"vrouw";32;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;1;"eens per week";1;1;"een keer";0;0;NA;0;0;NA;1;7;"helemaal mee eens";"mee eens";"weet niet";"helemaal mee eens";"goed"
192;"man";29;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"eens per maand";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";4;22;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"goed"
225;"man";24;NA;1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;5;7;"helemaal mee eens";"mee eens";"helemaal mee oneens";"helemaal mee eens";"goed"
322;"man";35;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"eens per maand";0;0;NA;14;1;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
222;"vrouw";28;"midden";1;1;"een paar keer per week";1;0;NA;1;1;"eens per maand";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";1;0;NA;NA;12;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
257;"vrouw";35;"hoog";1;1;"eens per week";0;0;NA;1;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;3;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"weet niet";"niet goed/niet slecht"
137;"man";28;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;NA;3;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"mee eens";"niet goed/niet slecht"
115;"man";17;"midden";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;14;"helemaal mee eens";"mee oneens";"mee oneens";"mee eens";"goed"
166;"man";20;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";2;8;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
272;"man";25;"midden";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";NA;1;"minder dan maandelijks";1;1;"een paar keer per maand";0;0;NA;8;9;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
197;"man";29;"hoog";1;1;"een paar keer per maand";0;0;NA;1;0;NA;1;0;NA;0;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";NA;11;"helemaal mee eens";"mee oneens";"mee oneens";"helemaal mee eens";"zeer goed"
156;"vrouw";23;"midden";1;1;"(bijna) elke dag";1;1;"eens per week";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;0;NA;0;0;NA;0;0;NA;11;5;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"niet goed/niet slecht"
317;"man";21;"hoog";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";1;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;1;21;"mee eens";"helemaal mee eens";"helemaal mee eens";"mee eens";"goed"
311;"vrouw";23;"hoog";1;1;"een paar keer per maand";0;0;NA;0;0;NA;0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;NA;5;"helemaal mee eens";"mee oneens";"helemaal mee oneens";"helemaal mee oneens";"zeer goed"
278;"vrouw";31;"midden";1;1;"eens per week";1;0;NA;1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;0;0;NA;NA;2;"helemaal mee eens";"helemaal mee oneens";"mee oneens";"mee oneens";"goed"
57;"vrouw";23;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";5;4;"helemaal mee eens";"helemaal mee eens";"mee oneens";"helemaal mee eens";"goed"
